iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
NAM,Namibia,1048697386.686222,1110878274.3791354,7.526854752691994,7.265928153292737,59.48091887999999,64.13687006666666,5.9293451554598375,-0.2609265993992569,4.65595118666667
NER,Niger,792314881.7241483,820269902.730266,46.09528950358962,42.13901575699845,35.690341950000004,36.42764027666667,3.528271606521522,-3.9562737465911724,0.737298326666668
NGA,Nigeria,10034309245.121286,13325352799.785294,71.49702688632999,75.55233557517474,15.73634243,14.31814289,32.797908398768186,4.055308688844747,-1.4181995399999998
NIC,Nicaragua,1296203955.429839,1459726401.512748,33.2176118187935,32.92433952120397,61.56835937999999,60.94461695333334,12.615487354278503,-0.29327229758953166,-0.6237424266666522
NIU,Niue,2368430.3028592053,3617694.3477577567,0.9714521657957926,0.5484580228093554,72.9017868,53.75046921,52.746498108490705,-0.4229941429864372,-19.151317589999998
NLD,Netherlands (Kingdom of the),106834265472.08784,117067557553.9457,10.42366611277548,10.707606039523249,65.99391174,68.60253397333334,9.57866096297677,0.28393992674776847,2.6086222333333353
NOR,Norway,47563088761.2252,45144432806.897026,13.918727077568043,13.90520579146468,85.71699523999999,85.84874470999999,-5.085153250812275,-0.013521286103364005,0.1317494700000026
NPL,Nepal,1632603008.4321506,2180298941.602229,57.913130493968126,54.24037307802028,24.80925369,31.31193097666667,33.547404380692115,-3.672757415947842,6.502677286666671
NRU,Nauru,15293024.254475225,19500347.822195612,0.8031395179801237,0.6413830857196912,89.48764801000002,86.37148539,27.51139014566848,-0.16175643226043257,-3.1161626200000114
NZL,New Zealand,20191745025.01833,23935208298.875412,14.40404510255892,13.228198005406322,72.16235352000001,76.84938049333334,18.539572826512966,-1.175847097152598,4.687026973333332
OMN,Oman,3721924676.328543,4085236294.2526627,5.96134702668172,5.85981324147773,87.54851532000002,87.7605896,9.761390933964433,-0.1015337852039897,0.21207427999998174
PAK,Pakistan,7680825146.630809,8351389109.833006,56.083011521500865,51.09315764146393,33.12983321999999,36.84569422333333,8.73036360548241,-4.989853880036932,3.7158610033333446
PAN,Panama,5965977076.112275,6522599113.523934,37.61917676138023,39.267903429209646,56.74044037000001,54.13977305,9.32993925907576,1.6487266678294148,-2.6006673200000066
PER,Peru,13249850500.056805,16143569796.690289,28.347988608476072,24.880872818730044,63.24930572999999,66.50434621333333,21.83963733493505,-3.4671157897460283,3.255040483333346
PHL,Philippines,16770395177.764364,21053445963.16869,48.78687783500652,43.47248809131026,40.60421753,44.98988342333333,25.53935515534639,-5.31438974369626,4.385665893333332
PLW,Palau,40202788.116184376,40504130.93552782,14.83093180827605,16.16230928792304,57.86076736,51.87896728333334,0.7495570169724848,1.3313774796469904,-5.981800076666659
PNG,Papua New Guinea,677810201.1419861,694315820.7333618,9.527100418250154,10.010810837596605,58.32541275000001,59.08136876333333,2.4351388579821847,0.4837104193464512,0.7559560133333179
POL,Poland,46962474847.970566,49232738840.8431,20.090784181904407,19.272468176753,71.38498688,72.60119883,4.834208589351297,-0.8183160051514058,1.2162119500000017
PRT,Portugal,25895241479.51793,28563961383.845974,30.607241812644855,28.757512436259923,60.77597808999999,62.99001439333333,10.305831310508893,-1.849729376384932,2.2140363033333443
PRY,Paraguay,2845398879.01282,3164757834.637359,41.96775350120375,37.578935258341815,46.347465519999986,54.08401108,11.223697246107635,-4.388818242861937,7.7365455600000175
